PlayerName,Manager,Years Kept
Ronald Jones,Trickydick514,1
A.J. Brown,Trickydick514,1
Robby Anderson,Trickydick514,1
Joe Mixon,MeatWizard,1
Aaron Jones,MeatWizard,1
Chris Godwin,MeatWizard,1
Miles Sanders,MeatWizard,1
Michael Gallup,MeatWizard,1
Kyler Murray,TxRider,1
Melvin Gordon,TxRider,1
D.J. Chark,TxRider,1
Kenyan Drake,angeltorres363,1
Devin Singletary,angeltorres363,1
Will Fuller,angeltorres363,1
Amari Cooper,chilliah,1
Darren Waller,chilliah,1
Chris Carson,chilliah,1
Austin Ekeler,chilliah,1
Lamar Jackson,chilliah,1
Marquise Brown,jtcoleman13,1
Cooper Kupp,jtcoleman13,1
Allen Robinson,TxAgg10,1
Derrick Henry,TxAgg10,1
Mark Ingram,TxAgg10,1
Tom Brady,TxAgg10,1
Golden Tate,TxAgg10,1
Calvin Ridley,Ninked,1
Courtland Sutton,Ninked,1
Terry McLaurin,Ninked,1
Dak Prescott,Andjita,1
Tyler Lockett,Andjita,1
Matt Breida,Andjita,1
John Brown,Andjita,1