Owner,Player,Position,Years Kept,Draft Cost($) 2023,Keeper Cost($) 2024,Eligible,Note
TurkeySwift,Jayden Reed,WR,0,1,7,True,
TurkeySwift,Rashee Rice,WR,0,1,7,True,
TurkeySwift,Travis Kelce,TE,1,58,70,True,
TurkeySwift,Jerick McKinnon,RB,0,2,8,True,
TurkeySwift,Derrick Henry,RB,0,47,58,True,
TurkeySwift,Chris Godwin,WR,0,21,29,True,
TurkeySwift,D'Onta Foreman,RB,0,1,7,True,
TurkeySwift,Kendrick Bourne,WR,0,0,14,True,Player not drafted. Set keeper cost to positional average
TurkeySwift,Josh Allen,QB,2,39,49,False,Ineligible. Reached years kept limit of 2
TurkeySwift,Michael Gallup,WR,0,1,7,True,
TurkeySwift,D'Andre Swift,RB,0,20,28,True,
TurkeySwift,Rondale Moore,WR,0,1,7,True,
TurkeySwift,Michael Mayer,TE,0,1,7,True,
TurkeySwift,C.J. Stroud,QB,0,1,7,True,
TurkeySwift,Miami Dolphins,DEF,0,1,7,True,
Andjita,Kareem Hunt,RB,0,1,7,True,
Andjita,Samaje Perine,RB,0,3,9,True,
Andjita,Saquon Barkley,RB,0,52,63,True,
Andjita,Dallas Goedert,TE,0,10,17,True,
Andjita,Tony Pollard,RB,1,14,21,True,
Andjita,CeeDee Lamb,WR,0,45,56,True,
Andjita,Tee Higgins,WR,0,31,40,True,
Andjita,Gabe Davis,WR,0,11,18,True,
Andjita,Trevor Lawrence,QB,0,12,19,True,
Andjita,Nico Collins,WR,0,1,7,True,
Andjita,Jahan Dotson,WR,0,7,14,True,
Andjita,Romeo Doubs,WR,0,1,7,True,
Andjita,Jaylen Warren,RB,0,1,7,True,
Andjita,Marvin Mims,WR,0,2,8,True,
Andjita,New York Jets,DEF,0,2,8,True,
Ninked,Jonathan Mingo,WR,0,2,8,True,
Ninked,Davante Adams,WR,0,43,53,True,
Ninked,Tyler Boyd,WR,0,2,8,True,
Ninked,Joe Mixon,RB,0,35,44,True,
Ninked,Patrick Mahomes,QB,1,30,39,True,
Ninked,Matt Breida,RB,0,0,18,True,Player not drafted. Set keeper cost to positional average
Ninked,Mark Andrews,TE,0,28,37,True,
Ninked,Van Jefferson,WR,0,2,8,True,
Ninked,Amon-Ra St. Brown,WR,2,14,21,False,Ineligible. Reached years kept limit of 2
Ninked,Rashod Bateman,WR,0,2,8,True,
Ninked,Tyler Allgeier,RB,1,7,14,True,
Ninked,Bryce Young,QB,0,2,8,True,
Ninked,Jaxon Smith-Njigba,WR,0,6,13,True,
Ninked,Deuce Vaughn,RB,0,1,7,True,
Ninked,Jacksonville Jaguars,DEF,0,0,2,True,Player not drafted. Set keeper cost to positional average
chilliah,Tyler Lockett,WR,0,16,24,True,
chilliah,Raheem Mostert,RB,0,12,19,True,
chilliah,Hunter Henry,TE,0,0,10,True,Player not drafted. Set keeper cost to positional average
chilliah,Zay Jones,WR,0,1,7,True,
chilliah,Christian Kirk,WR,1,13,20,True,
chilliah,Jeff Wilson,RB,0,0,18,True,Player not drafted. Set keeper cost to positional average
chilliah,Damien Harris,RB,0,1,7,True,
chilliah,Jakobi Meyers,WR,0,2,8,True,
chilliah,Justin Jefferson,WR,0,67,80,True,
chilliah,Jalen Hurts,QB,1,19,27,True,
chilliah,Kenneth Gainwell,RB,0,1,7,True,
chilliah,Skyy Moore,WR,0,2,8,True,
chilliah,De'Von Achane,RB,0,5,11,True,
chilliah,Bijan Robinson,RB,0,52,63,True,
chilliah,Zay Flowers,WR,0,4,10,True,
chilliah,Baltimore Ravens,DEF,0,3,9,True,
MeatWizard,Zach Ertz,TE,0,0,10,True,Player not drafted. Set keeper cost to positional average
MeatWizard,Odell Beckham,WR,0,3,9,True,
MeatWizard,Tyreek Hill,WR,0,58,70,True,
MeatWizard,Christian McCaffrey,RB,0,66,79,True,
MeatWizard,Mike Williams,WR,0,16,24,True,
MeatWizard,Courtland Sutton,WR,0,10,17,True,
MeatWizard,Justice Hill,RB,0,0,18,True,Player not drafted. Set keeper cost to positional average
MeatWizard,Jordan Love,QB,0,0,11,True,Player not drafted. Set keeper cost to positional average
MeatWizard,Elijah Mitchell,RB,0,4,10,True,
MeatWizard,Kadarius Toney,WR,0,3,9,True,
MeatWizard,Rachaad White,RB,1,7,14,True,
MeatWizard,Brian Robinson,RB,0,7,14,True,
MeatWizard,Christian Watson,WR,1,7,14,True,
MeatWizard,Puka Nacua,WR,0,0,14,True,Player not drafted. Set keeper cost to positional average
MeatWizard,Kansas City Chiefs,DEF,0,1,7,True,
Emrtz,Adam Thielen,WR,0,2,8,True,
Emrtz,Brandin Cooks,WR,0,8,15,True,
Emrtz,Jared Goff,QB,0,1,7,True,
Emrtz,Tyler Higbee,TE,0,1,7,True,
Emrtz,Josh Reynolds,WR,0,0,14,True,Player not drafted. Set keeper cost to positional average
Emrtz,Lamar Jackson,QB,0,12,19,True,
Emrtz,Calvin Ridley,WR,0,26,35,True,
Emrtz,A.J. Brown,WR,1,37,47,True,
Emrtz,Cam Akers,RB,0,21,29,True,
Emrtz,Travis Etienne,RB,1,48,59,True,
Emrtz,Khalil Herbert,RB,0,12,19,True,
Emrtz,George Pickens,WR,1,11,18,True,
Emrtz,Kyren Williams,RB,0,0,18,True,Player not drafted. Set keeper cost to positional average
Emrtz,Tank Bigsby,RB,0,3,9,True,
Emrtz,Seattle Seahawks,DEF,0,0,2,True,Player not drafted. Set keeper cost to positional average
younggizzle,Geno Smith,QB,0,2,8,True,
younggizzle,Michael Thomas,WR,0,9,16,True,
younggizzle,Alvin Kamara,RB,0,24,32,True,
younggizzle,Evan Engram,TE,0,9,16,True,
younggizzle,Gerald Everett,TE,0,1,7,True,
younggizzle,Austin Ekeler,RB,0,65,77,True,
younggizzle,Jonathan Taylor,RB,0,17,25,True,
younggizzle,Zack Moss,RB,0,0,18,True,Player not drafted. Set keeper cost to positional average
younggizzle,Ja'Marr Chase,WR,2,24,32,False,Ineligible. Reached years kept limit of 2
younggizzle,Jerome Ford,RB,0,0,18,True,Player not drafted. Set keeper cost to positional average
younggizzle,Chris Olave,WR,1,9,16,True,
younggizzle,Kenneth Walker,RB,1,9,16,True,
younggizzle,Breece Hall,RB,0,24,32,True,
younggizzle,Jalin Hyatt,WR,0,3,9,True,
younggizzle,Tank Dell,WR,0,1,7,True,
younggizzle,Buffalo Bills,DEF,0,1,7,True,
JbMcc3,Sam LaPorta,TE,0,1,7,True,
JbMcc3,Robert Woods,WR,0,0,14,True,Player not drafted. Set keeper cost to positional average
JbMcc3,Amari Cooper,WR,0,23,31,True,
JbMcc3,Deshaun Watson,QB,0,4,10,True,
JbMcc3,Aaron Jones,RB,0,28,37,True,
JbMcc3,DJ Moore,WR,0,18,26,True,
JbMcc3,DK Metcalf,WR,1,21,29,True,
JbMcc3,Diontae Johnson,WR,0,12,19,True,
JbMcc3,Miles Sanders,RB,1,19,27,True,
JbMcc3,Kyle Pitts,TE,0,6,13,True,
JbMcc3,Justin Fields,QB,1,7,14,True,
JbMcc3,Drake London,WR,0,18,26,True,
JbMcc3,Treylon Burks,WR,0,6,13,True,
JbMcc3,Jahmyr Gibbs,RB,0,28,37,True,
JbMcc3,Kendre Miller,RB,0,3,9,True,
JbMcc3,Cleveland Browns,DEF,0,0,2,True,Player not drafted. Set keeper cost to positional average
Robbietee,Stefon Diggs,WR,0,51,62,True,
Robbietee,Dak Prescott,QB,0,11,18,True,
Robbietee,Rashaad Penny,RB,0,7,14,True,
Robbietee,Dalton Schultz,TE,0,5,11,True,
Robbietee,Marquise Brown,WR,0,12,19,True,
Robbietee,Josh Jacobs,RB,1,28,37,True,
Robbietee,Joe Burrow,QB,0,16,24,True,
Robbietee,AJ Dillon,RB,0,15,22,True,
Robbietee,Elijah Moore,WR,0,1,7,True,
Robbietee,Pat Freiermuth,TE,0,9,16,True,
Robbietee,Dameon Pierce,RB,0,32,41,True,
Robbietee,Justyn Ross,WR,0,1,7,True,
Robbietee,Jameson Williams,WR,0,1,7,True,
Robbietee,Jordan Addison,WR,0,9,16,True,
Robbietee,Philadelphia Eagles,DEF,0,1,7,True,
kruse47,Roschon Johnson,RB,0,1,7,True,
kruse47,Keenan Allen,WR,0,24,32,True,
kruse47,Darren Waller,TE,0,15,22,True,
kruse47,Cooper Kupp,WR,0,42,52,True,
kruse47,Gus Edwards,RB,0,0,18,True,Player not drafted. Set keeper cost to positional average
kruse47,T.J. Hockenson,TE,0,17,25,True,
kruse47,David Montgomery,RB,0,16,24,True,
kruse47,Devin Singletary,RB,0,1,7,True,
kruse47,Brandon Aiyuk,WR,1,13,20,True,
kruse47,Joshua Kelley,RB,0,0,18,True,Player not drafted. Set keeper cost to positional average
kruse47,DeVonta Smith,WR,1,10,17,True,
kruse47,Javonte Williams,RB,0,21,29,True,
kruse47,Rhamondre Stevenson,RB,1,10,17,True,
kruse47,James Cook,RB,0,19,27,True,
kruse47,Anthony Richardson,QB,0,4,10,True,
kruse47,Dallas Cowboys,DEF,0,1,7,True,
larrrl,James Conner,RB,0,21,29,True,
larrrl,Hayden Hurst,TE,0,0,10,True,Player not drafted. Set keeper cost to positional average
larrrl,Allen Lazard,WR,0,1,7,True,
larrrl,Deebo Samuel,WR,2,25,33,False,Ineligible. Reached years kept limit of 2
larrrl,Terry McLaurin,WR,0,14,21,True,
larrrl,Tua Tagovailoa,QB,0,5,11,True,
larrrl,Justin Herbert,QB,0,18,26,True,
larrrl,Antonio Gibson,RB,0,9,16,True,
larrrl,K.J. Osborn,WR,0,1,7,True,
larrrl,Darnell Mooney,WR,0,1,7,True,
larrrl,Jaylen Waddle,WR,2,21,29,False,Ineligible. Reached years kept limit of 2
larrrl,Najee Harris,RB,0,30,39,True,
larrrl,Jake Ferguson,TE,0,0,10,True,Player not drafted. Set keeper cost to positional average
larrrl,Chigoziem Okonkwo,TE,0,2,8,True,
larrrl,New England Patriots,DEF,0,1,7,True,
gnemos,Kirk Cousins,QB,0,3,9,True,
gnemos,DeAndre Hopkins,WR,0,22,30,True,
gnemos,Mike Evans,WR,0,17,25,True,
gnemos,Dalvin Cook,RB,0,10,17,True,
gnemos,George Kittle,TE,0,15,22,True,
gnemos,Alexander Mattison,RB,0,29,38,True,
gnemos,Jerry Jeudy,WR,0,16,24,True,
gnemos,Michael Pittman,WR,0,13,20,True,
gnemos,Tutu Atwell,WR,0,0,14,True,Player not drafted. Set keeper cost to positional average
gnemos,Garrett Wilson,WR,0,41,51,True,
gnemos,Brock Purdy,QB,0,0,11,True,Player not drafted. Set keeper cost to positional average
gnemos,Isiah Pacheco,RB,0,19,27,True,
gnemos,Tyjae Spears,RB,0,2,8,True,
gnemos,Zach Charbonnet,RB,0,4,10,True,
gnemos,San Francisco 49ers,DEF,0,2,8,True,
